timestamp,electricity,wind_speed
2024-01-01 00:00:00,0.069,4.508
2024-01-01 01:00:00,0.072,4.572
2024-01-01 02:00:00,0.082,4.739
2024-01-01 03:00:00,0.114,5.257
2024-01-01 04:00:00,0.178,6.053
2024-01-01 05:00:00,0.243,6.73
2024-01-01 06:00:00,0.31,7.34
2024-01-01 07:00:00,0.383,7.944
2024-01-01 08:00:00,0.404,8.102
2024-01-01 09:00:00,0.404,8.103
2024-01-01 10:00:00,0.391,8.003
2024-01-01 11:00:00,0.342,7.608
2024-01-01 12:00:00,0.277,7.053
2024-01-01 13:00:00,0.241,6.71
2024-01-01 14:00:00,0.215,6.457
2024-01-01 15:00:00,0.174,6.016
2024-01-01 16:00:00,0.124,5.396
2024-01-01 17:00:00,0.11,5.186
2024-01-01 18:00:00,0.162,5.878
2024-01-01 19:00:00,0.261,6.907
2024-01-01 20:00:00,0.373,7.862
2024-01-01 21:00:00,0.49,8.774
2024-01-01 22:00:00,0.581,9.489
2024-01-01 23:00:00,0.636,9.951
2024-01-02 00:00:00,0.676,10.307
2024-01-02 01:00:00,0.777,11.334
2024-01-02 02:00:00,0.738,10.909
2024-01-02 03:00:00,0.62,9.821
2024-01-02 04:00:00,0.506,8.895
2024-01-02 05:00:00,0.353,7.7
2024-01-02 06:00:00,0.212,6.426
2024-01-02 07:00:00,0.126,5.422
2024-01-02 08:00:00,0.077,4.648
2024-01-02 09:00:00,0.053,4.184
2024-01-02 10:00:00,0.05,4.109
2024-01-02 11:00:00,0.044,3.96
2024-01-02 12:00:00,0.034,3.725
2024-01-02 13:00:00,0.034,3.736
2024-01-02 14:00:00,0.037,3.803
2024-01-02 15:00:00,0.046,4.029
2024-01-02 16:00:00,0.061,4.347
2024-01-02 17:00:00,0.08,4.707
2024-01-02 18:00:00,0.109,5.17
2024-01-02 19:00:00,0.148,5.698
2024-01-02 20:00:00,0.19,6.188
2024-01-02 21:00:00,0.205,6.346
2024-01-02 22:00:00,0.198,6.278
2024-01-02 23:00:00,0.201,6.318
2024-01-03 00:00:00,0.205,6.35
2024-01-03 01:00:00,0.19,6.194
2024-01-03 02:00:00,0.173,6.001
2024-01-03 03:00:00,0.145,5.67
2024-01-03 04:00:00,0.102,5.066
2024-01-03 05:00:00,0.081,4.734
2024-01-03 06:00:00,0.072,4.561
2024-01-03 07:00:00,0.066,4.448
2024-01-03 08:00:00,0.068,4.489
2024-01-03 09:00:00,0.066,4.445
2024-01-03 10:00:00,0.059,4.308
2024-01-03 11:00:00,0.052,4.143
2024-01-03 12:00:00,0.046,4.023
2024-01-03 13:00:00,0.052,4.144
2024-01-03 14:00:00,0.07,4.524
2024-01-03 15:00:00,0.104,5.106
2024-01-03 16:00:00,0.149,5.711
2024-01-03 17:00:00,0.183,6.115
2024-01-03 18:00:00,0.199,6.294
2024-01-03 19:00:00,0.21,6.41
2024-01-03 20:00:00,0.22,6.507
2024-01-03 21:00:00,0.239,6.689
2024-01-03 22:00:00,0.248,6.784
2024-01-03 23:00:00,0.256,6.849
